test,units
TEMPERATURE CENTIGRADE,celsius
TURBIDITY NTU,NTU
DISSOLVED OXYGEN AS O2,mg/L
PH MEASURED IN FIELD,unit
REDOX,mV
FIELD ELECTRICAL CONDUCTIVITY,mS/cm
OIL LAYER THICKNESS,cm
CALCIUM AS CA,mg/L
MAGNESIUM AS MG,mg/L
SODIUM AS NA,mg/L
POTASSIUM AS K,mg/L
CHLORIDE AS CL,mg/L
SULFATE AS SO4,mg/L
BICARBONATE AS HCO3,mg/L
NITRATE AS NO3,mg/L
BORON AS B,mg/L
FLUORIDE AS F,mg/L
BROMIDE AS BR,mg/L
PHOSPHATE AS PO4,mg/L
TOTAL ORGANIC CARBON (TOC),mg/L
TOTAL NITROGEN AS N,mg/L
ALUMINUM (Al),µg/L
SILVER (Ag),µg/L
ARSENIC AS AS,µg/L
BARIUM AS BA,µg/L
BERYLIUM (Be),µg/L
ANTIMONY (Sb),µg/L
CADMIUM AS CD,µg/L
CYANIDE AS CN,µg/L
COBALT AS CO,µg/L
CHROMIUM AS CR,µg/L
COPPER AS CU,µg/L
FERROUS IRON DISSOLVED AS FE,µg/L
MERCURY AS HG,µg/L
MANGANESE TOTAL AS MN,µg/L
NICKEL AS NI,µg/L
LEAD AS PB,µg/L
SELENIUM AS SE,µg/L
ZINC AS ZN,µg/L
MTBE,µg/L
TERTIARY BUTYL ALCOHOL,µg/L
BENZENE,µg/L
ETHYL BENZENE,µg/L
TOLUENE,µg/L
XYLENE,µg/L
DICHLORODIFLUOROMETHANE,µg/L
CHLOROMETHANE,µg/L
VINYL CHLORIDE (VC),µg/L
CHLOROETHANE,µg/L
TRICHLOROFLUOROMETHANE,µg/L
"DICHLOROETHYLENE 1,1 (1,1 DCE)",µg/L
METHYLENE CHLORIDE (DCM),µg/L
"TRANS-1,2 DICHLOROETHYLENE (T1,2 DCE)",µg/L
"1,1-DICHLOROETHANE (1,1 DCA)",µg/L
"CIS 1,2 DICHLOROETHYLENE (C1,2 DCE)",µg/L
CHLOROFORM,µg/L
"TRICHLORO ETHANE 1,1,1 (1,1,1 TCA)",µg/L
CARBON TETRACHLORIDE,µg/L
"1,3-DICHLOROBENZENE",µg/L
"DICHLOROETHANE1,2",µg/L
TRICHLOROETHYLENE (TCE),µg/L
"1,2-DICHLOROPROPANE",µg/L
DIBROMOMETHANE,µg/L
"1,1,2-TRICHLOROETHANE (1,1,2 TCA)",µg/L
TETRACHLOROETHYLENE (PCE),µg/L
DIBROMOCHLOROMETHANE,µg/L
ETHYLENE DIBROMIDE (EDB),µg/L
MONOCHLOROBENZENE,µg/L
STYRENE,µg/L
BROMOBENZENE,µg/L
"1,2,3-TRICHLOROPROPANE (TCP)",µg/L
"1,3,5 TRIMETHYLBENZENE (MESITYLENE)",µg/L
"1,2,4 TRIMETHYLBENZENE",µg/L
"1,4 DICHLOROBENZENE (1,4 DCB)",µg/L
"1,2 DICHLOROBENZENE (ODCB)",µg/L
"1,2-DIBROMO-3-CHLOROPROPANE (DBCP)",µg/L
"1,2,4-TRICHLOROBENZENE",µg/L
NAPTHALENE,µg/L
"1,2,3-TRICHLOROBENZENE",µg/L
"1,1,1,2-TETRACHLOROETHANE",µg/L
"1,1,2,2-TETRACHLOROETHANE",µg/L
"1,1-DICHLOROPROPENE",µg/L
BROMOMETHANE,µg/L
DIBROMOCHLOROMETHANE,µg/L
"1,1-DICHLOROPROPENE",µg/L
DIBROMOCHLOROMETHANE,µg/L
ACETONE,µg/L
TRIBROMOMETHANE (BROMOFORM),µg/L
DICHLOROBROMOMETHANE,µg/L
FORMALDEHYDE,µg/L
"1,4 DIOXANE",µg/L
PERCHLORATE,µg/L
TOTAL PETROLEUM HYDROCARBONS (TPH),µg/L
POLYAROMATIC HYDROCARBONS (PAH),µg/L
